federal_district,educhigh,population
Центральный ФО,0,13335523
г. Москва,0,3820186
Северо-Западный ФО,0,3888821
г. Санкт-Петербург,0,1813946
Южный ФО,0,8508512
Северо-Кавказский ФО,0,5321270
Приволжский ФО,0,15162781
Уральский ФО,0,5628780
Сибирский ФО,0,7973873
Дальневосточный ФО,0,3611361
Центральный ФО,1,5903028
г. Москва,1,3381721
Северо-Западный ФО,1,1525950
г. Санкт-Петербург,1,1507014
Южный ФО,1,3304500
Северо-Кавказский ФО,1,1744145
Приволжский ФО,1,5805212
Уральский ФО,1,2271357
Сибирский ФО,1,3029102
Дальневосточный ФО,1,1466397
Новые регионы,0,3462188.10758665
Новые регионы,1,1349490.89241335
