variable,label
ID,Идентификатор респондента
IVDur,Длительность интервью (сек.)
final_result,Результат дозвона
Q2001,Федеральный округ
Q1005,"В каком регионе Вы живете — как называется край, область, республика?"
Q2003,Тип населенного пункта
Q1003,Вы живёте в городе или в селе?
Q1,Пол
Q2,"Скажите, пожалуйста, сколько вам полных лет?"
Q75,"Вспомните, пожалуйста, было ли такое, что вас обокрали, вас побили, вам угрожали, вы стали жертвой насилия, мошенничества или других преступлений в России за последние 5 лет?"
Q75_1N,Сколько всего подобных случаев произошло с Вами за последние 5 лет?
Q76,А за последние 12 месяцев  такие случаи бывали?
Q76_1N,Сколько всего подобных случаев произошло с Вами за последние 12 месяцев?
Q5,Каким было последнее преступление?
Q5_1T,Описание преступления
Q661,"Можно ли сказать, что в Вашем случае преступление произошло через телефонный звонок?"
Q662,"Можно ли сказать, что преступление произошло через интернет?"
Q663,Вид удаленного преступления
Q14,Где произошло преступление?
Q18,Были ли в этот момент рядом с вами другие люди?
Q15,Это произошло в светлое или темное время суток?
Q16,В каком примерно месяце это было?
Q77,"А не могли бы примерно вспомнить, какое это было время года?"
Q17,"Можно ли сказать, что к преступлению привела Ваша оплошность?"
Q19_1,Материальный ущерб: Деньги наличные
Q19_2,"Материальный ущерб: Деньги с карты, счета и т.п."
Q19_3,Материальный ущерб: Банковские карты и т.п.
Q19_4,Материальный ущерб: Документы (паспорт)
Q19_5,"Материальный ущерб: Техника (например, телефон, ноутбук, пылесос, инструменты и т.п.)"
Q19_6,Материальный ущерб: Драгоценности и украшения
Q19_7,Материальный ущерб: Транспортное средство (в том числе угон и запчасти)
Q19_88,Материальный ущерб: Нет
Q19_998,Материальный ущерб: Другое
Q19_999,Материальный ущерб: Затрудняюсь ответить / не помню
Q21,Какова была примерная сумма материального ущерба в рублях?
Q21_1N,Какова была примерная сумма материального ущерба в рублях?
Q221,"Скажите, ваше имущество было повреждено/уничтожено или им просто завладел другой человек?"
Q22,"Можно ли сказать, что вас обманули или ввели в заблуждение?"
Q23,Угрожали ли вам испортить или уничтожить имущество?
Q24,Было ли к Вам применено физическое насилие?
Q25_1,Использовалось ли что-либо в качестве оружия? Нет
Q25_2,"Использовалось ли что-либо в качестве оружия? Да, огнестрельное оружие или его аналоги"
Q25_3,"Использовалось ли что-либо в качестве оружия? Да, холодное оружие, нож или что-то подобное"
Q25_998,Использовалось ли что-либо в качестве оружия? Другое
Q25_999,Использовалось ли что-либо в качестве оружия? Затрудняюсь ответить
Q26,"Был ли Вам причинен какой-либо физический ущерб, телесные повреждения?"
Q30,Был ли у вас риск погибнуть в результате этого физического вреда?
Q27,Нуждались ли вы в медицинской помощи?
Q28,Обращались ли вы в медицинское учреждение?
Q29,Получили ли вы в результате этого случая инвалидность?
Q31,Оказывали ли вы сопротивление преступнику?
Q33,Угрожали ли вам в этой ситуации физическим насилием?
Q34,Угрожали ли вам оружием?
Q32,Могли ли быть у злоумышленника сексуальные мотивы?
Q6,В момент преступления вы разговаривали со злоумышленником?
Q611,В момент преступления вы видели злоумышленника?
Q7,Злоумышленник был один?
Q8,Злоумышленник был мужчина или женщина?
Q9,Были ли вы знакомы со злоумышленником?
Q10,Кем злоумышленник Вам приходился?
Q11,"Можно ли сказать, что вы находились в зависимом положении от преступника (он был начальником, основным кормильцем или старшим родственником)?"
Q13,Был ли преступник или кто-нибудь из преступников в состоянии алкогольного или наркотического опьянения?
Q39,Рассказывали ли вы кому-нибудь из близких о случившемся?
Q40,Узнали ли о случившемся правоохранительные органы?
Q46,"В результате, они возбудили уголовное или административное дело?"
Q68,Дошло ли дело до суда?
Q47_1,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? В суд"
Q47_2,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К адвокатам, юристам"
Q47_3,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К знакомым, близким, друзьям"
Q47_4,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К частным лицам (например, частные охранные структуры)"
Q47_5,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К банку"
Q47_6,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К бандитам или криминальным авторитетам"
Q47_998,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К кому-то другому"
Q47_888,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? Нет, не обращались ни к кому"
Q47_999,"Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? Затрудняюсь ответить / не помню"
Q49,"Известен ли виновный или кто-либо из виновных, если их было несколько?"
Q50,"Кем был найден виновный или кто-либо из виновных, если их было несколько?"
Q51,"Получил ли наказание виновный или кто-либо из виновных, если их было несколько?"
Q52,Примирились ли вы в суде с виновными?
Q53,"Добивались ли вы материальной компенсации? Если да, то удалось ли ее добиться полностью, частично или не удалось?"
Q54,"Оказавшись снова в аналогичной ситуации, Вы, скорее всего, обратились бы в полицию?"
Q55,"Насколько Вас эмоционально затронула эта ситуация? Оцените, пожалуйста, по шкале от 1 до 10, где 1 - абсолютно не затронула, 10 - очень сильно затронула."
Q81,"Сейчас хотели бы задать три вопроса о ваших ощущениях безопасности. Представьте, Вы идете в одиночестве после наступления темноты в районе, где Вы живете. Насколько безопасно Вы себя чувствуете в такой ситуации?"
Q82,"Как часто вас беспокоит мысль о том, что Ваш дом или квартиру могут ограбить или обокрасть?"
Q83,"Как часто вас беспокоит мысль о том, что Вы можете стать жертвой нападения?"
Q572,"И несколько вопросов про ваше субъективное благополучие. Насколько Вы удовлетворены своей жизнью в целом в настоящее время? Ответьте по шкале от 1 до 10, где 1 – полностью НЕ удовлетворен, а 10 – Полностью удовлетворен:"
Q573,"В целом, как вы считаете, большинству людей можно доверять или нужно быть осторожнее?"
Q574,"Вы согласны с тем, что полиции можно доверять?"
Q575,"Вы согласны с тем, что судебной системе можно доверять?"
Q78,"Спасибо! Мы изучаем какие люди становятся или не становятся жертвами преступлений, поэтому так же просим ответить вас на вопросы общего характера. Скажите, Вы проживаете один/одна?"
Q79,Состоите ли Вы в браке?
Q80,"Сколько человек, считая вас, живет с вами вместе и ведет общее хозяйство?"
Q80_1N,Размер домохозяйства (число)
Q801,Как часто вы общаетесь с ближайшими родственниками?
Q802,Каким образом вы чаще всего общаетесь с ближайшими родственниками?
Q57,Как бы вы определили свой уровень дохода?
Q_loan,"Сейчас у вас есть какой-либо банковский или потребительский кредит, по которому вам нужно выплачивать деньги?"
Q571,"Вы могли бы примерно назвать суммарный ежемесячный доход всех, с кем Вы живете и ведете общее хозяйство, включая вас?"
Q571_1N,Сумма (руб.)
Q58,У вас есть работа?
Q69,Вы учитесь в настоящее время?
Q691,Как вы обычно добираетесь до места учебы?
Q692,"Далее несколько вопросов о Вашей работе для целей исследования. Если Вы работаете в нескольких местах, поговорим о Вашей основной работе. Как вы обычно добираетесь до места работы?"
Q72,На работе Вы руководите другими людьми?
Q73,Ваша работа связана с физическим трудом?
Q70,Вы получаете пенсию от государства?
Q701,Вы имеете инвалидность?
Q702,Как часто вы пили алкоголь (включая пиво) в последние 30 дней?
Q71,Искали ли Вы работу в течение последних 12 месяцев?
Q743,"Оцените свои навыки владения компьютером и смартфоном от 1 до 5: где «1» - очень плохо владею, а «5» - очень хорошо владею:"
Q61,Какое у вас образование?
Q64,Есть ли среди Ваших знакомых работники правоохранительных органов или Вы сами там работаете или работали?
Q65,Привлекались ли Вы сами когда-нибудь к уголовной ответственности?
Q420,"Как вы считаете, употребление марихуаны в личных целях должно быть законным или незаконным?"
Q111,Согласие на повторное участие в опросе
resp_is_crime_victim,Был ли респондент жертвой преступления?
resp_is_male,Респондент мужского пола?
resp_age,Возраст
Age_Groups,Возрастная группа
resp_is_living_alone,Респондент живёт один?
resp_is_married,Респондент в официальном или гражданском браке?
resp_household_size,Размер домохозяйства респондента (после винсоризации на ур. 99% и медианной импутации)
resp_household_income,Суммарный месячный доход домохозяйства респондента (после винсоризации на ур. 99%)
resp_mean_household_income,Усреднённый доход члена домохозяйства респондента
resp_edu,Образование респондента
resp_is_enforcers_familiar,Респондент или его/ее знакомые - (бывшие) сотрудники правоохранительных органов?
resp_is_crime_record,Привлекался ли респондент к уголовной отвественности?
resp_ses_is_employed,СЭС: работает в настоящее время
resp_ses_is_student,СЭС: учится в настоящее время
resp_ses_is_pensioner,СЭС: достиг(ла) пенсионного возраста
resp_ses_is_welfare,"СЭС: получает пенсию, пособие от государства"
resp_ses_is_looked_for_job,СЭС: искал(а) работу в последние 12 месяцев
resp_ses_job_is_manager,СЭС: работает руководителем
resp_ses_job_is_manual,СЭС: физическая работа
resp_ses,Социально-экономический статус (сгруппированный)
resp_safety_alone,Ощущение безопасности: безопасно ли в одиночестве в вашем районе в тёмное время суток
resp_safety_home,Ощущение безопасности: как часто боитесь ограбления своей квартиры или дома
resp_safety_victimization,Ощущение безопасности: как часто боитесь стать жертвой преступления
resp_life_satisfaction,Оценка удовлетворённостью респондентом уровнем жизни (1 - полностью не удовлетворён)
resp_trust_general,"Доверие: согласны с тем, что большинству людей можно доверять?"
resp_trust_police,"Доверие: согласны с тем, что полиции можно доверять?"
resp_trust_court,"Доверие: согласны с тем, что судебной системе можно доверять?"
resp_transport_study,Как вы обычно добираетесь до места учебы?
resp_transport_work,Как вы обычно добираетесь до места работы
resp_communication_relatives_freq,Как часто вы общаетесь с ближайшими родственниками?
resp_communication_relatives_way,Каким образом вы чаще всего общаетесь с ближайшими родственниками?
resp_cannabis_is_legal,Должно ли быть законным употребление марихуаны в личных целях?
crime_season,"Время года, когда было совершено преступление"
crime_is_people_around,Были ли в момент преступления рядом другие люди?
crime_is_daytime,Было ли преступление совершено днём?
crime_via_internet,Преступление совершено по Интернету?
crime_via_phone,Преступление совершено по телефону?
crime_is_remote,Удалённое или киберпреступление?
crime_is_property_damage,Был ли материальный ущерб?
crime_is_violent_damage,Было ли физическое насилие?
crime_is_seeking_medical_help,Нуждались ли в медицинской помощи?
crime_is_property_acquisition,Имуществом завладел другой человек?
crime_is_fraud,Жертву обманули или ввели в заблуждение?
crime_is_offender_seen,Видела или разговаривала жертва с преступником?
crime_is_threat,Поступали ли в адрес жертвы угрозы?
crime_type,Тип преступления
crime_place,Место преступления
crime_place_grouped,Место преступления (сгруппированное)
crime_place_is_home,Было ли преступление совершено дома?
victim_is_reporting,Сообщила ли жертва в полицию?
victim_is_self_accused,"Обвиняет ли жертва себя в том, что преступление было совершено?"
victim_damage_physical,"Был ли нанесён физический ущерб жертве, и какой?"
victim_damage_emotional,Насколько жертву эмоционально затронула эта ситуация? (1 - абсолютно не затронула)
victim_damage_rub,"Материальный ущерб, в рублях"
victim_damage_rub_lg,"Материальный ущерб, в рублях (десятичный логарифм)"
victim_is_crime_case_initiated,Было ли возбуждено дело о преступлении?
victim_is_repeat_contact_with_police,Готова ли жертва на повторный контакт с полицией?
victim_is_offender_found,Известен ли кто-либо из виновных?
victim_who_found_offender,Кем был найден преступник?
victim_is_offender_punished,Получил ли наказание кто-либо из виновных?
victim_is_went_to_court,Дошло ли дело до суда?
victim_compensation,"Добивалась ли жертва материальной компенсации, и какой?"
victim_is_compensated,Добилась ли жертва материальной компенсации?
victim_is_reconciliation,Примирились ли Вы в суде с виновным?
victim_is_told_anyone,Рассказала ли жертва близким о случившемся?
victim_is_offender_dependent,"Находилась ли жертва в зависимом положении от преступника (он был начальником, основным кормильцем или старшим родственником)?"
offender_is_male,Преступник был мужского пола?
offender_is_alone,Был ли преступник один?
offender_is_familiar,Была ли знакома жертва с преступником?
offender_is_drug_intoxicated,Был ли преступник в состоянии опьянения?
offender_relationship,Отношения преступника и жертвы
offender_relationship_grouped,Отношения преступника и жертвы (сгруппированные)
weight,Пост-стратификационные веса
region_iso,Регион (кодировка ISO)
year,Год
Q66,"Можно ли сказать, что в Вашем случае преступление произошло через телефон / интернет (например, злоумышленники Вам звонили или писали с просьбой перевести им деньги) или к Вашему случаю это неприменимо?"
